Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
22897639297,Kit 5x ou 10x Potes de Vidro 200 ml p/ Leite Materno Papinha + Etiqueta + Caneta ENVIO RÁPIDO,"R$23,99","3,7mil",Leão Express,7%,"R$1,68",https://shopee.com.br/product/1168668910/22897639297,https://s.shopee.com.br/AKJIZ9gBDJ
15177433948,Kit 03 Peças de Lençol Com Elástico Para Mini Berço percal 200 fios,"R$19,84","22,2mil",ARMARINHOS HH,8%,"R$1,59",https://shopee.com.br/product/367895429/15177433948,https://s.shopee.com.br/A9zsMqgoYI
18372262059,Tenda Barraca De Praia Com Piscina Infantil Bebê Proteção Solar UV,"R$59,90","7,7mil",Mega Compras Oficial,12%,"R$7,19",https://shopee.com.br/product/762139988/18372262059,https://s.shopee.com.br/9zgSAXhRtH
22297635361,Toalha De Banho E Praia Piscina Infantil Divertidamente,"R$24,98","7,4mil",FalaPatrão,3%,"R$0,75",https://shopee.com.br/product/431466978/22297635361,https://s.shopee.com.br/8UreNmn9w0
16356325552,Kits - Rosquinha de Amamentação,"R$11,90","48,7mil",Naty Atelier,3%,"R$0,36",https://shopee.com.br/product/390775050/16356325552,https://s.shopee.com.br/8KYEBTnnGz
7695797605,Trocador Portátil Bebê Impermeável Acolchoado Várias Estampas,"R$19,99",43mil,Casa Monzillo,13%,"R$2,60",https://shopee.com.br/product/298372359/7695797605,https://s.shopee.com.br/8AEnzAoQby
24683790125,Mini Pingente Angela Metoo Doll E Brinquedos De Pelúcia Chaveiro De Aniversário Para Bebês,"R$16,94","7,9mil",Choice Oficial,11%,"R$1,86",https://shopee.com.br/product/1006215031/24683790125,https://s.shopee.com.br/7zvNmrp3wx
21499179471,Kit higiene do coto UMBILICAL do Bebê,"R$12,99","8,9mil",CantinhoBabysp,3%,"R$0,39",https://shopee.com.br/product/378105312/21499179471,https://s.shopee.com.br/9A7LB0kcaC
18697732270,kit 6/8 peças de Silicone para alimentação de bebês,"R$39,99","2,4mil",TOP VIDA Argentina,7%,"R$2,80",https://shopee.com.br/product/1284822095/18697732270,https://s.shopee.com.br/8znuyhlFvB
23892879018,Kit 5 Fralda De Pano Estampado 60 x 60 Enxoval Infantil Bebê Menino Menina,"R$21,26",4mil,magiainfantil,3%,"R$0,64",https://shopee.com.br/product/1017646777/23892879018,https://s.shopee.com.br/8pUUmOltGA
25516968962,Brinquedos de Banho Baby Toys Baby Children Baby Indoor Água de Banho Brinquedos de Banho Little Turtle Little Crab,"R$6,72","18,9mil",Choice Oficial,11%,"R$0,74",https://shopee.com.br/product/1006215031/25516968962,https://s.shopee.com.br/8fB4a5mWb9
17301365970,Toalhas Umedecidas para Bebê Infância Feliz - 03 Pacotes de 150 Folhas Cada - Vegano - Com Tampinha,"R$19,88","55,9mil",ATACADO DO LENÇO UMEDECIDO,7%,"R$1,39",https://shopee.com.br/product/604069672/17301365970,https://s.shopee.com.br/7AMGnKsEds
19202954055,Naninha com Prendedor de Chupeta Paninho de Bichinho Antialérgico para Bebê,"R$19,90","17,3mil",um encanto,3%,"R$0,60",https://shopee.com.br/product/404534495/19202954055,https://s.shopee.com.br/702qb1sryr
19997288210,Fralda Turma da Mônica Baby M com 40 unidades - 4 a 9 kg,"R$36,34","10,4mil",Dona E-commerce,3%,"R$1,09",https://shopee.com.br/product/699004065/19997288210,https://s.shopee.com.br/6pjQOitVJq
21799033603,Kits de Brinquedo Infantil Girafa Pop Tubo Led Com Ventosa,"R$10,99","25,1mil",lojapediuchegou,3%,"R$0,33",https://shopee.com.br/product/562281331/21799033603,https://s.shopee.com.br/6fQ0CPu8ep
14447766572,Caixa com 10 Pacotes Lenços Umedecidos Turminha da Bagunça -  50 Folhas 20 x13 cm,"R$28,05","38,1mil",ATACADO DO LENÇO UMEDECIDO,7%,"R$1,96",https://shopee.com.br/product/604069672/14447766572,https://s.shopee.com.br/7pbxaYphI4
10593078934,Grade De Proteção para Pet Cães Bebês e Crianças Para Portas Portão - 80cm Preto,"R$67,90","9,3mil",Tri1Pet,3%,"R$2,04",https://shopee.com.br/product/532546866/10593078934,https://s.shopee.com.br/7fIXOFqKd3
22295569905,Troninho Assento Infantil Pinico Peniquinho Neném Com Tampa Educativo,"R$14,99",10mil,Lany Importação e Comércio,3%,"R$0,45",https://shopee.com.br/product/934936859/22295569905,https://s.shopee.com.br/7Uz7Bwqxy2
21599324115,Kit 30 Unidades de Massinha  + 20 moldes Forminhas Sortidas para modelar Infantil  (5 caixas 65gr),"R$22,50","5,8mil",LB_MegaComércio_de_Produtos,3%,"R$0,68",https://shopee.com.br/product/302025087/21599324115,https://s.shopee.com.br/7KfgzdrbJ1
22924629976,LENÇOS/TOALHAS UMEDECIDAS KIT COM 10 BABY FREE C/100unidades TAMPA FLIP -TOP,"R$51,99",37mil,PLUMA_BABY,7%,"R$3,64",https://shopee.com.br/product/287778538/22924629976,https://s.shopee.com.br/5pqtCsxJLk
10889381335,"Camera Ip Wifi Giratória Estilo Babá Eletrônica Com Visão Noturna e Alerta De Movimento Para Bebê, Animal De Estimação, Idoso","R$66,88","31,7mil",BeyondGroupSP,3%,"R$2,01",https://shopee.com.br/product/659435897/10889381335,https://s.shopee.com.br/5fXT0Zxwgj
23293279564,Kit 14 Peças Enxoval Bebe 3 Cueiros 6 Paninhos De Boca E 5 Fraldas 100% Algodão Flanelado Estampado,"R$39,99","2,3mil",magiainfantil,3%,"R$1,20",https://shopee.com.br/product/1017646777/23293279564,https://s.shopee.com.br/5VE2oGya1i
18397749012,Jogo de empurrão rápido POP IT Anti Stress de Ansiedade Brinquedo Presente para Crianças e juventude dia das criangas presentes,"R$8,51","8,4mil",Arcada de Misou,3%,"R$0,26",https://shopee.com.br/product/1239677646/18397749012,https://s.shopee.com.br/5KucbxzDMh
