Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
19896974135,Tênis Infantil MeninoCom Velcro Super Confortável Lançamento Tem Shoes,"R$54,90","17,5mil",TemShoes Calçados,6%,"R$3,29",https://shopee.com.br/product/778089123/19896974135,https://s.shopee.com.br/6fQ3Vvz6ph
23924336580,sapatinho de bebe tenis infantil  starzinho,"R$19,93","17,8mil",BebeaBordoCalçados,10%,"R$1,99",https://shopee.com.br/product/954501960/23924336580,https://s.shopee.com.br/7AMK6qxCoo
23897645492,Kit 10 peças 5 Conjunto Roupa Infantil Menina ou 8 Peças 4 Conjunto Camiseta/Blusa + Shorts/Bermuda,"R$64,90","8,6mil",Blah Store Outlet,16%,"R$10,38",https://shopee.com.br/product/857619285/23897645492,https://s.shopee.com.br/702tuXxq9n
25824952779,"Laços de Cabelo Coloridos para Bebês, 500 Unidades, Elásticos Descartáveis","R$3,27","5,6mil",Choice Oficial,14%,"R$0,46",https://shopee.com.br/product/1006215031/25824952779,https://s.shopee.com.br/6ATmv110qe
19387600915,Ventosa Variedade Girafa Telescópica De Alívio De Estresse Educacional Infantil Pinch Fun,"R$13,11","45,1mil",Choice Oficial,14%,"R$1,84",https://shopee.com.br/product/1006215031/19387600915,https://s.shopee.com.br/60AMii1eBd
20115445443,05 Pacotes Lenços Umedecidos Infância Feliz 150 folhas - Produto 100% Vegano - Com Tampinha,"R$44,50","25,9mil",ATACADO DA PERFUMARIA - OFICIAL,11%,"R$4,90",https://shopee.com.br/product/673495060/20115445443,https://s.shopee.com.br/6V6dJczkAk
20299229642,Kit Enxoval Cueiro e Paninho de boca ( 9 PEÇAS ),"R$33,99","12,7mil",CantinhoBabysp,6%,"R$2,04",https://shopee.com.br/product/378105312/20299229642,https://s.shopee.com.br/6KnD7K0NVj
23493179837,Talheres bebê silicone 8 Peças kit Talheres Infantil Com Ventosa Canudo Colher Babador Garfo,"R$39,80","18,4mil",ZSZ_brasil,6%,"R$2,39",https://shopee.com.br/product/390307022/23493179837,https://s.shopee.com.br/5VE67n3YCa
27557450499,Blocos de construção em micropartículas-Compatível com figuras de desenhos animados e brinquedos de quebra-cabeças,"R$6,85",43mil,Choice Oficial,14%,"R$0,96",https://shopee.com.br/product/1006215031/27557450499,https://s.shopee.com.br/5KufvU4BXZ
22492851439,Caixa Kit Com 300  Lenços/Toalhas Umedecida  Kit Higiene Bebe Promoção,"R$7,99","32,5mil",CantinhoBabysp,6%,"R$0,48",https://shopee.com.br/product/378105312/22492851439,https://s.shopee.com.br/5pqwWP2HWg
23492963102,12 Unidades Pano de Boca Bebe Fralda de Boca Babete 100% Algodão 30cm x 30cm,"R$25,98","19,9mil",magiainfantil,6%,"R$1,56",https://shopee.com.br/product/1017646777/23492963102,https://s.shopee.com.br/5fXWK62urf
19898672322,Kit 10 Saquinhos Maternidade Multiuso Organizador Nécessaire Envelope Com Zíper,"R$20,50","30,9mil",J.R. Variedades,6%,"R$1,23",https://shopee.com.br/product/255636032/19898672322,https://s.shopee.com.br/A9zvgMlmjY
8490684267,Babá Eletrônica Câmera Sem Fio Visão Noturna Infravermelho,"R$69,22","53,6mil",Neverdie Store,6%,"R$4,15",https://shopee.com.br/product/409164022/8490684267,https://s.shopee.com.br/9zgVU3mQ4X
20797746340,Kit com 6 Lenços/Toalhas Umedecidas Baby Star C/100,"R$29,99","20,8mil",Stock20,6%,"R$1,80",https://shopee.com.br/product/973103774/20797746340,https://s.shopee.com.br/AUcm4ykW3e
